id,name,level,difficulty,tags
13365,End Time,HD Lv.11,11.900001,爆发
13366,Astronomia(美國空軍 a.k.a Daily Mix),RE Lv.15,15.600002,多押+楼梯+32分
13368,爆炸性新闻！-Breaking News!-,IN Lv.12i,13.7,32分
13370,紅蓮華,IN Lv.14,14.800003,32分+纵连
13376,What's up? Pop!,AT Lv.龙,16.600002,底力+多押+楼梯+32分+变速+耐力+位移
13395,R.I.P.,IN Lv.15,15.400002,-
13397,Lights of Muse,IN ,14.900001,底力+爆发
13414,透明な惑星,EX 13,13.500001,-
13419,一梦千宵,AN Lv.15,15.0,-
13425,Roki (ロキ),ROKI Lv.14,14.299999,-
13431,硝华流焰,IN Lv.15,15.1,楼梯+32分
13444,色は匂へど 散りぬるを (花朵艳丽 终会散落),IN Lv.14,14.400005,32分
13445,Epicram,IN Lv.15,15.0,-
13446,月光,EZ Lv.6,6.4999967,-
13496,神のまにまに,IN Lv.14,14.100001,32分+纵连+位移
13503,窒碍难行,AT Lv.15,15.1,-
13507,Manifold Hypothesis,IN Lv.14,14.800003,楼梯
13550,Fragrance,AT,14.0,-
13551,NEW OLD SOV,14,14.500001,纵连
13589,踏山河,IN Lv.14,14.0,-
13599,Last Paradise,IN Lv.13,13.200019,楼梯+纵连
1360,Shizuku (feat. NEONA),IN Lv.14,14.0,楼梯
13608,Elpis,IN Lv.15,16.0,底力+楼梯+32分+耐力+叠键+位移
13617,啊呦啊呦,IN Lv.12,12.499998,楼梯+32分
13625,Sparkle New Life,AT Lv.15,15.7,32分
13722,再会,IN Lv.14,14.2,-
13751,Microburst,IN Lv.13,18.4,楼梯
13769,Diamond Eyes,FM Lv.13,13.599995,32分+叠键
13775,Unwelcome School,SP Lv.?,10.0,底力+多押+楼梯+变速+耐力+纵连+位移
13780,Nyarlathotep's Dreamland,dreamland Lv.16,16.0,底力+爆发+耐力+位移
13782,enchanted love,IN LV.14,14.2,-
13789,GALACTIC WARZONE,IN Lv.15,15.800003,楼梯+变速+纵连+位移+定轨
13792,渡月橋 ～君 想ふ～ (渡月桥~思君~),IN Lv.14,14.5,32分
13795,銀世廻 -Alternative-,IN Lv.15,15.1,楼梯+32分
13797,Lanterns,IN Lv.14,14.0,耐力
13799,GOODTEK,AT Lv.14,14.700001,-
13828,胡桃嗷（2.0）,IN.lv.15,15.400002,-
13839,WATER,IN ,14.199998,32分
13849,The Saltwater Room,Lv.13,13.400002,-
13867,TiamaT:F minor,IN Lv.16,16.2,底力+变速+耐力+高BPM+纵连+位移+定轨
13875,勇者,IN Lv.14,14.200001,-
13879,走吉歌,IN Lv.14,14.5,楼梯
