id,name,level,diff,tags
40879,Island Breeze,IN Lv.13,13.800003,-
4103,即兴演出fReeStyLE,IN Lv.13,13.0,楼梯+爆发
41234,siren's eye,Tiebreaker Lv.17,17.600002,底力+变速+叠键+位移
41265,Elusive Enforcer,IN Lv.16,16.2,多押+楼梯+32分+变速+耐力+位移
4155,Sterelogue,IN Lv.14,14.0,-
4165,LubedeR,IN Lv.15,15.600002,高BPM+位移
41662,Brun-Brun,IN Lv.15,15.0,耐力
42010,ふたりのスタートボタン,IN Lv.13,13.400002,-
42017,全力ハッピーライフ,IN Lv.14,14.1,多押+32分
42248,ロータスイーター（feat.歌愛ユキ）,RM Lv.14,14.600002,-
42655,Cryptarithm,IN Lv.16,16.000004,-
428,GOODMEGALO,IN  Lv.15,15.400002,楼梯+纵连
42880,DRE4M1N9,IN Lv.14,14.2,-
4291,Absolute Terror,AT Lv.15,15.800003,多押+楼梯+32分+耐力+叠键
42988,with U,AT Lv.15,15.600002,多押+32分+变速+位移
43235,A Gleam for the Sightless,IN Lv.11,11.600002,-
43311,Cherry Pop (feat. 初音ミク),IN Lv.14,14.800002,楼梯
4334,Love U More,IN  Lv.15,15.200001,多押+楼梯+32分
43399,3rd Avenue,IN Lv.15,15.0,32分
43467,Friend's Back,IN Lv.15,15.0,底力+爆发
43517,Challenger,IN Lv.16,16.600002,耐力
43564,Lemegeton -little key of solomon-,IN Lv.16,16.600002,底力+多押+楼梯+爆发+变速+耐力+位移+定轨
43602,ΣmbryØ,IN  Lv.16,16.5,底力+楼梯+变速+耐力+高BPM+纵连+位移+定轨
43625,DANGEROOOOUS JUNGLE,IN Lv.16,16.2,32分+纵连+叠键+位移
43885,クウルッコ,AT Lv.16,16.900003,底力+爆发+耐力+纵连+位移
43988,Waking Shadows (feat. Eili),AT  Lv.18,18.500002,底力+多押+楼梯+32分+变速+耐力+位移
44207,εxceζ,AT Lv.17,17.0,底力+多押+32分+变速+耐力+位移
4421,Fine Logic,IN Lv.14,14.0,楼梯
44477,つよがるガール feat. もっさ (ネクライトーキー) (TV Size),IN  Lv.15,15.800003,32分+变速+高BPM
4493,Good Life,IN  Lv.15,15.0,-
4497,Drifters,IN  Lv.14,14.900001,32分+耐力
44987,eyes in the water,SV Lv. ◉,15.800003,底力+高BPM
450,Secret Lie,IN Lv.14,15.0,纵连
45062,だんだん早くなる,AT  Lv.14,14.6,-
45225,ƒƒƒƒƒ,AT  Lv.15,15.900003,底力+耐力+位移
45255,Cult Future,IN Lv.15,15.900003,爆发+耐力+位移
45964,天灵灵地灵灵,IN Lv.15,15.600002,变速+纵连
45977,Sayonara Hatsukoi,IN Lv.15,15.0,32分
46017,3rd Avenue,SP  Lv.？,13.799998,-
4609,Quon,IN Lv.14,14.200001,-
46108,憑いている (feat. 初音ミク),IN Lv.14,14.700001,-
46228,Submerged City,AT  Lv.18,18.000004,底力+楼梯+变速+耐力+位移
46230,Splash Dance!!,AT Lv.15,15.6,32分+耐力
46231,寄明月,IN Lv.13,13.1,楼梯
46236,thrinos;pygmalion,AT Lv.15,15.0,楼梯+变速
46237,动感方块,IN Lv.13,13.700003,楼梯+32分
46248,T+ VS SHARK,IN Lv.15,15.700003,楼梯+变速+耐力+位移
46253,Theatore Creatore,IN  Lv.15,15.800003,楼梯+爆发
46374,eastward,IN Lv.15,15.500002,多押+爆发+位移
46403,Crossmythos Rhapsodia,AT  Lv.18,18.1,底力+多押+楼梯+爆发+变速+耐力+位移
46418,MORNINGLOOM,IN Lv.16,16.2,-
4649,SILENT BLUE,AT Lv.15,15.588889,底力+爆发
4656,What's up? Pop!,IN Lv.15,16.300005,底力+楼梯+变速+耐力+位移
4662,Quantum Conversation,IN  Lv.14,14.800003,32分
46688,アナタニナルノ,IN  Lv.14,14.400002,楼梯
46820,ピュグマリオンの咒文,IN Lv.15,15.200001,楼梯
4686,即兴演出 fReeStyLE,AT Lv.16,16.2,楼梯+爆发+变速+纵连
46927,Splash Dance!!,IN Lv.14,14.200001,-
46929,ムリムリ進化論 (Anime Size),IN Lv.15,15.0,32分
47009,VS RENDA,IN Lv.15,15.800003,底力+32分+变速+耐力+位移
47264,Feeling Blue,AT Lv.16,16.700003,32分
47497,Submerged City,IN Lv.16,16.300001,底力+楼梯+耐力
47579,愛属性(feat.初音ミク),IN Lv.14,14.700003,-
47726,Ultimate Shot - To Cosmos,IN  Lv.16,16.099998,爆发+耐力
48,Muspelheim,AT,16.3,32分+变速+位移
48187,Scars of FAUNA,IN Lv.14,14.700003,楼梯
48339,迷星叫（Mayoiuta）,IN Lv.15,15.500002,多押+楼梯+32分+变速+位移+定轨
4838,MARENOL 1mg,MG Lv.14,14.0,底力+纵连
48457,siren's eye,IN Lv.16,16.800003,底力+变速+高BPM+叠键+位移
4861,Surasthana Fantasia 净善的遐歌,"IN Lv.13
",13.0,楼梯+纵连
48775,DEUS_X_MACHINE,Fm Lv.16,16.0,楼梯+32分+变速+高BPM+位移
48842,Stuckmoth feat. Hatsune Miku,IN  Lv.15,15.300001,-
49073,とげとげサディスティック,IN Lv.11,11.500002,-
4909,Angelic Layer,IN Lv.14,14.500002,-
49274,MVURBD,IN Lv.15,15.500002,底力+楼梯
49398,孤独に生きる者,AT Lv.13,13.0,-
49434,Overhea [r] t,IN Lv.16,16.2,底力+爆发
4972,音速宇宙旅行,IN Lv.15,15.0,底力+爆发+高BPM+位移
49806,Sakura Fubuki,IN  Lv.15,15.1,楼梯+定轨
49893,warning@sleeping,IN Lv.14,14.599999,楼梯+高BPM+定轨
49985,Brightness,IN  Lv.15,15.1,楼梯+32分+变速+纵连+位移
50040,blender,IN Lv.13,13.200001,-
50299,INTERCELL_LAUNCH_1.0,IN Lv.☐,15.900001,爆发+纵连
